quote,source
"In the highest civilization the book is still the highest delight.","Ralph Waldo Emerson, Quotation and Originality"
"Books have that strange quality, that being of the frailest and tenderest matter, they outlast brass, iron and marble.","William Drummond, Bibliotheca Edinburgena Lectori"
"It is true, that it is not at all necessary to love many books, in order to love them much.","Henry Wadsworth Longfellow"
"Books have always a secret influence on the understanding.","Samuel Johnson, Adventurer"
"Many books require no thought from those who read them, and for a very simple reason; they made no such demand on those who wrote them.","Charles Caleb Colton, Lacon"
"All books are divisible into two classes, the books of the hour, and the books of all time.","John Ruskin, Sesame and Lilies"
"The reading of books, what is it but conversing with the wisest men of all ages and all countries.","Isaac Barrow, Of Industry in our Particular Calling as Scholars"
"Talent alone cannot make a writer. There must be a man behind the book.","Ralph Waldo Emerson, Goethe"
"I would desire to have no other prison than a library, and to be chained together with as many good authors.","Robert Burton, The Anatomy of Melancholy"
"Every person of tolerable education has been considerably influenced by the books he has read.","John Foster, On a Man's Writing Memoirs of Himself"
"I would rather be a poor man in a garret with plenty of books than a king who did not love reading.","Thomas Babington Macaulay"
"I shall die reading; since my book and a grave are so near.","John Donne, Letters to Several Persons of Honour"
"In my garden I spend my days; in my library I spend my nights.","Alexander Smith, Dreamthorp"
"Cultivate above all things a taste for reading.","Robert Lowe, Speech to the Students of the Croydon Science and Art Schools"
"Reading is to the mind what exercise is to the body.","Sir Richard Steele, Tatler"
"Seated in my library at night, and looking on the silent faces of my books, I am occasionally visited by a strange sense of the supernatural.","Alexander Smith, Dreamthorp"
"There is no pleasure so cheap, so innocent, and so remunerative as the real, hearty pleasure and taste for reading.","Robert Lowe, Speech to the Students of the Croydon Science and Art Schools"
"If we encountered a man of rare intellect, we should ask him what books he read.","Ralph Waldo Emerson, Quotation and Originality"